identifier,sentence,alternative1,alternative2,alternative3,alternative4,alternative5,alternative6,alternative7,alternative8,type1,type2
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-34#char=0,169","He is a Fellow of the American Association for Artificial Intelligence, the British Computer Society, the Institute of Electrical and Electronics Engineers and the AAAS.",Institute of Electrical and Electronics Engineers__106__155,Institute__106__115,Electrical and Electronics__119__145,Electrical__119__129,Electronics Engineers__134__155,Electronics__134__145,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-35#char=0,313","Berners-Lee is the director of the World Wide Web Consortium (W3C), which oversees the continued development of the Web. He is also the founder of the World Wide Web Foundation, and is a senior researcher and holder of the founders chair at the MIT Computer Science and Artificial Intelligence Laboratory (CSAIL).",World Wide Web Consortium (W3C)__35__66,World Wide Web Consortium__35__60,World Wide Web__35__49,Consortium__50__60,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-35#char=0,313","Berners-Lee is the director of the World Wide Web Consortium (W3C), which oversees the continued development of the Web. He is also the founder of the World Wide Web Foundation, and is a senior researcher and holder of the founders chair at the MIT Computer Science and Artificial Intelligence Laboratory (CSAIL).",World Wide Web Foundation__151__176,World Wide Web__151__165,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-35#char=0,313","Berners-Lee is the director of the World Wide Web Consortium (W3C), which oversees the continued development of the Web. He is also the founder of the World Wide Web Foundation, and is a senior researcher and holder of the founders chair at the MIT Computer Science and Artificial Intelligence Laboratory (CSAIL).",senior researcher__187__204,senior__187__193,researcher__194__204,,,,,,Role,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-35#char=0,313","Berners-Lee is the director of the World Wide Web Consortium (W3C), which oversees the continued development of the Web. He is also the founder of the World Wide Web Foundation, and is a senior researcher and holder of the founders chair at the MIT Computer Science and Artificial Intelligence Laboratory (CSAIL).",MIT Computer Science and Artificial Intelligence Laboratory__245__304,MIT__245__248,Computer Science__249__265,Artificial Intelligence Laboratory__270__304,Artificial Intelligence__270__293,Intelligence__281__293,Laboratory__294__304,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-36#char=0,207","He attended Sheen Mount Primary School, and then went on to attend south west London's Emanuel School from 1969 to 1973, at the time a direct grant grammar school, which became an independent school in 1975.",Sheen Mount Primary School__12__38,Sheen Mount__12__23,Sheen__12__17,Mount__18__23,Primary School__24__38,School__32__38,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-36#char=0,207","He attended Sheen Mount Primary School, and then went on to attend south west London's Emanuel School from 1969 to 1973, at the time a direct grant grammar school, which became an independent school in 1975.",south west London__67__84,London__78__84,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-36#char=0,207","He attended Sheen Mount Primary School, and then went on to attend south west London's Emanuel School from 1969 to 1973, at the time a direct grant grammar school, which became an independent school in 1975.",direct grant grammar school__135__162,grammar school__148__162,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-36#char=0,207","He attended Sheen Mount Primary School, and then went on to attend south west London's Emanuel School from 1969 to 1973, at the time a direct grant grammar school, which became an independent school in 1975.",independent school__180__198,school__192__198,Independent__180__191,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-38#char=0,349","Brown's time as Chancellor was marked by major reform of Britain's monetary and fiscal policy architecture, transferring interest rate setting powers to the Bank of England, by a wide extension of the powers of the Treasury to cover much domestic policy and by transferring responsibility for banking supervision to the Financial Services Authority.",Bank of England__157__172,Bank__157__161,England__165__172,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-38#char=0,349","Brown's time as Chancellor was marked by major reform of Britain's monetary and fiscal policy architecture, transferring interest rate setting powers to the Bank of England, by a wide extension of the powers of the Treasury to cover much domestic policy and by transferring responsibility for banking supervision to the Financial Services Authority.",the Treasury__211__223,Treasury__215__223,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-38#char=0,349","Brown's time as Chancellor was marked by major reform of Britain's monetary and fiscal policy architecture, transferring interest rate setting powers to the Bank of England, by a wide extension of the powers of the Treasury to cover much domestic policy and by transferring responsibility for banking supervision to the Financial Services Authority.",Financial Services Authority__320__348,Financial Services__320__338,,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-39#char=0,251","Brown was educated first at Kirkcaldy West Primary School where he was selected for an experimental fast stream education programme, which took him two years early to Kirkcaldy High School for an academic hothouse education taught in separate classes.",Kirkcaldy West Primary School__28__57,Kirkcaldy West__28__42,Kirkcaldy__28__37,West__38__42,Primary School__43__57,School__51__57,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-39#char=0,251","Brown was educated first at Kirkcaldy West Primary School where he was selected for an experimental fast stream education programme, which took him two years early to Kirkcaldy High School for an academic hothouse education taught in separate classes.",Kirkcaldy High School__167__188,Kirkcaldy__167__176,High School__177__188,,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-4#char=0,219","Fiat has a long history in United States. In 1908, the Fiat Automobile Co. was established in the country and a plant in Poughkeepsie, N.Y., began producing Fiats a year later, like the Fiat 60 HP and the Fiat 16-20 HP.",United States__27__40,United__27__33,,,,,,,Place,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-4#char=0,219","Fiat has a long history in United States. In 1908, the Fiat Automobile Co. was established in the country and a plant in Poughkeepsie, N.Y., began producing Fiats a year later, like the Fiat 60 HP and the Fiat 16-20 HP.",Fiat Automobile Co.__55__74,Fiat__55__59,Automobile__60__70,Co__71__73,,,,,Organization,
"http://www.ontologydesignpatterns.org/data/oke-challenge/task-1/sentence-4#char=0,219","Fiat has a long history in United States. In 1908, the Fiat Automobile Co. was established in the country and a plant in Poughkeepsie, N.Y., began producing Fiats a year later, like the Fiat 60 HP and the Fiat 16-20 HP.","Poughkeepsie, N.Y.__121__139",Poughkeepsie__121__133,N.Y.__135__139,,,,,,Place,
